epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,259.841,1.14842,0.719,1.03746,0.87602,0.95349,0.93543,0.52995,1.48301,0.85582,1.29907,0.00137819,0.00137819,0.00137819
16,276.454,1.13586,0.69091,1.04192,0.8601,0.91176,0.93253,0.55894,1.41537,0.83471,1.20282,0.00135756,0.00135756,0.00135756
17,293.93,1.11346,0.68172,1.02991,0.9074,0.89132,0.91529,0.54881,1.28858,0.74739,1.14025,0.00133693,0.00133693,0.00133693
18,311.072,1.08279,0.64115,1.01468,0.86824,0.95176,0.95244,0.55455,1.40637,0.76453,1.23253,0.0013163,0.0013163,0.0013163
19,328.728,1.12173,0.63781,1.02856,0.93113,0.96451,0.96468,0.58821,1.3436,0.63702,1.16275,0.00129568,0.00129568,0.00129568
20,346.906,1.08271,0.61936,1.01782,0.90253,0.98591,0.97887,0.57074,1.3838,0.79888,1.17509,0.00127505,0.00127505,0.00127505
21,364.665,1.08684,0.62142,1.02294,0.91,0.9951,0.96368,0.56153,1.34912,0.70926,1.1599,0.00125442,0.00125442,0.00125442
22,381.258,1.06244,0.6225,1.00891,0.94295,0.99709,0.9593,0.59415,1.28465,0.60614,1.12183,0.00123379,0.00123379,0.00123379
23,398.393,1.04377,0.59878,1.01826,0.93767,0.98837,0.98016,0.64745,1.18707,0.62246,1.07917,0.00121316,0.00121316,0.00121316
24,416.293,1.06267,0.57768,1.01225,0.94051,0.99644,0.97386,0.5902,1.29732,0.58344,1.14792,0.00119253,0.00119253,0.00119253
25,433.627,1.06899,0.59678,1.01242,0.78814,0.78855,0.96955,0.60684,1.26573,1.28529,1.12238,0.0011719,0.0011719,0.0011719
26,451.096,1.0578,0.58446,1.0078,0.92677,1,0.98131,0.59363,1.27523,0.59866,1.13947,0.00115127,0.00115127,0.00115127
27,468.552,1.0549,0.56865,1.0068,0.92982,1,0.98015,0.6289,1.30138,0.55398,1.13122,0.00113064,0.00113064,0.00113064
28,486.243,1.05165,0.56048,1.00032,0.92792,1,0.96593,0.60938,1.26937,0.57295,1.14965,0.00111001,0.00111001,0.00111001
29,502.639,1.02939,0.55337,0.99955,0.94465,1,0.9676,0.61026,1.31134,0.56702,1.17496,0.00108938,0.00108938,0.00108938
30,519.661,1.01164,0.54352,0.99688,0.89675,0.95223,0.9712,0.62841,1.26293,0.62803,1.1114,0.00106876,0.00106876,0.00106876
31,538.609,1.02994,0.54177,0.99864,0.92838,0.89546,0.9648,0.62293,1.28308,0.7642,1.15081,0.00104813,0.00104813,0.00104813
32,555.636,1.00528,0.52373,0.98886,0.9438,1,0.97277,0.61941,1.32169,0.53405,1.13993,0.0010275,0.0010275,0.0010275
33,572.136,1.0089,0.52518,0.98557,0.94737,1,0.9808,0.61221,1.33368,0.54717,1.15637,0.00100687,0.00100687,0.00100687
34,588.899,1.01467,0.52577,0.99054,0.91109,1,0.97605,0.61103,1.29044,0.56791,1.17146,0.000986239,0.000986239,0.000986239
35,605.244,0.9735,0.50173,0.98711,0.94458,1,0.97256,0.60411,1.35132,0.53453,1.16737,0.00096561,0.00096561,0.00096561
36,622.924,0.99674,0.50715,0.98962,0.92568,0.98837,0.95722,0.60864,1.31255,0.57517,1.15061,0.000944981,0.000944981,0.000944981
37,641.234,0.97063,0.51102,0.97362,0.94221,1,0.95511,0.62039,1.28082,0.57331,1.11134,0.000924352,0.000924352,0.000924352
38,657.525,1.02845,0.51928,0.99121,0.93717,1,0.96866,0.60963,1.2883,0.52501,1.14463,0.000903722,0.000903722,0.000903722
39,674.501,0.99623,0.50124,0.98679,0.9445,1,0.967,0.61563,1.24167,0.51762,1.11377,0.000883093,0.000883093,0.000883093
40,691.376,0.97064,0.49629,0.98504,0.94709,1,0.96697,0.6103,1.27573,0.52963,1.12717,0.000862464,0.000862464,0.000862464
41,707.966,0.9766,0.49913,0.97768,0.92952,1,0.96837,0.63128,1.22558,0.52755,1.10422,0.000841835,0.000841835,0.000841835
42,724.868,0.98456,0.50481,0.98604,0.94121,1,0.9567,0.62593,1.27695,0.5142,1.13129,0.000821206,0.000821206,0.000821206
43,742.28,0.97967,0.48923,0.98581,0.94217,0.99577,0.95496,0.60375,1.27361,0.54229,1.1047,0.000800577,0.000800577,0.000800577
