epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3832,2.19601,4.88847,1.85952,0.00299,0.90082,0.12259,0.06343,1.51751,3.68075,1.37198,0.00020004,0.00020004,0.00020004
2,30.417,1.46875,2.60806,1.18987,0.00127,0.34473,0.00149,0.00066,1.63835,3.89161,1.58679,0.000411593,0.000411593,0.000411593
3,47.322,1.31747,1.60218,1.09417,0.00212,0.59508,0.0027,0.00108,1.69972,3.89672,1.60391,0.000617782,0.000617782,0.000617782
4,66.2543,1.27604,1.38736,1.07921,0.0028,0.78933,0.13014,0.10017,1.38596,3.35626,1.27051,0.000818607,0.000818607,0.000818607
5,83.4476,1.24039,1.30659,1.07088,0.00334,0.95896,0.34741,0.19462,1.39393,3.10499,1.22125,0.00101407,0.00101407,0.00101407
6,100.91,1.23857,1.20984,1.07703,0.94108,0.20322,0.46804,0.28361,1.47033,3.19328,1.35516,0.00120417,0.00120417,0.00120417
7,117.928,1.22649,1.10385,1.06429,1,0.16938,0.53725,0.30752,1.49357,2.73347,1.25117,0.0013889,0.0013889,0.0013889
8,135.742,1.23955,1.04098,1.06894,0.79094,0.39709,0.53198,0.31191,1.8035,2.25413,1.47509,0.0015226,0.0015226,0.0015226
9,154.256,1.22627,1.00498,1.06863,0.58944,0.57585,0.67938,0.39972,1.5674,1.73646,1.25863,0.00150197,0.00150197,0.00150197
10,172.423,1.20812,0.8976,1.05809,0.78394,0.73813,0.85904,0.4836,1.42913,1.29886,1.24155,0.00148134,0.00148134,0.00148134
11,189.99,1.1813,0.84476,1.05643,0.77931,0.89182,0.88269,0.48509,1.4796,0.91637,1.25866,0.00146071,0.00146071,0.00146071
12,207.633,1.1743,0.77802,1.03143,0.98474,0.48501,0.65071,0.38588,1.46723,1.76181,1.24009,0.00144008,0.00144008,0.00144008
13,224.082,1.15325,0.76192,1.04634,0.75579,0.75505,0.86062,0.48357,1.43659,1.04686,1.2154,0.00141945,0.00141945,0.00141945
14,241.436,1.16897,0.7507,1.06009,0.89867,0.96734,0.9424,0.53583,1.40206,0.75036,1.20432,0.00139882,0.00139882,0.00139882
