epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1526.33,0.97914,0.49894,1.07161,0.94217,1,0.98503,0.64697,1.38302,0.59726,1.50985,0.000800577,0.000800577,0.000800577
44,1561.22,0.95828,0.46784,1.05879,0.94327,1,0.98445,0.62827,1.58385,0.56819,1.73338,0.000779948,0.000779948,0.000779948
45,1596.83,0.92764,0.4548,1.03606,0.94348,1,0.97914,0.64176,1.46133,0.54927,1.54881,0.000759318,0.000759318,0.000759318
46,1630.27,0.9391,0.46272,1.04593,0.94675,1,0.97683,0.63037,1.43064,0.63996,1.59853,0.000738689,0.000738689,0.000738689
47,1665.01,0.94299,0.45435,1.04187,0.9443,1,0.98283,0.64152,1.54541,0.56538,1.89131,0.00071806,0.00071806,0.00071806
48,1701.72,0.91027,0.44332,1.0295,0.94515,1,0.97864,0.62216,1.39858,0.83091,1.57978,0.000697431,0.000697431,0.000697431
49,1736,0.89944,0.43891,1.02308,0.94302,1,0.96691,0.64193,1.72756,0.55429,2.01632,0.000676802,0.000676802,0.000676802
50,1770.39,0.9056,0.43523,1.02747,0.94458,1,0.9617,0.64195,1.24903,0.56266,1.37323,0.000656173,0.000656173,0.000656173
51,1805.43,0.91264,0.44324,1.03021,0.94517,1,0.96861,0.64073,1.54504,0.74335,1.54891,0.000635544,0.000635544,0.000635544
52,1840.33,0.89716,0.42874,1.02745,0.94423,1,0.96711,0.62522,1.41023,0.46775,1.48013,0.000614915,0.000614915,0.000614915
53,1877.36,0.91057,0.42955,1.03128,0.94539,1,0.97418,0.63003,1.60719,0.56483,1.69302,0.000594286,0.000594286,0.000594286
54,1914.3,0.89998,0.42094,1.03156,0.94443,1,0.97315,0.67372,1.34927,0.58523,1.47406,0.000573656,0.000573656,0.000573656
55,1949.11,0.91149,0.4439,1.03931,0.94271,1,0.96591,0.64421,1.39585,0.66322,1.54963,0.000553027,0.000553027,0.000553027
56,1985.18,0.90231,0.42923,1.03865,0.94389,1,0.96367,0.63364,1.52012,0.55264,1.66671,0.000532398,0.000532398,0.000532398
57,2019.24,0.87491,0.42182,1.01715,0.9389,1,0.97228,0.62915,1.47863,0.61078,1.63093,0.000511769,0.000511769,0.000511769
58,2054.49,0.87466,0.42295,1.028,0.94661,1,0.97306,0.63551,1.57202,0.55729,1.79413,0.00049114,0.00049114,0.00049114
59,2088.52,0.87631,0.4117,1.01531,0.94379,1,0.97517,0.64043,1.24926,0.58688,1.41785,0.000470511,0.000470511,0.000470511
60,2121.74,0.8855,0.4117,1.03138,0.94624,1,0.96871,0.64472,1.63699,0.74755,1.83252,0.000449882,0.000449882,0.000449882
61,2154.63,0.87424,0.40988,1.01411,0.94482,1,0.98233,0.65645,1.49631,0.66237,1.63525,0.000429253,0.000429253,0.000429253
62,2188.06,0.89456,0.4255,1.02464,0.94137,1,0.96992,0.65496,1.54733,0.54589,1.66139,0.000408623,0.000408623,0.000408623
63,2222.52,0.88974,0.41594,1.03359,0.94143,1,0.96767,0.65385,1.45684,0.69521,1.56185,0.000387994,0.000387994,0.000387994
64,2255.91,0.86565,0.40923,1.0017,0.94491,1,0.98483,0.66719,1.33409,0.48313,1.60191,0.000367365,0.000367365,0.000367365
65,2289.64,0.84319,0.39479,1.00427,0.94384,1,0.98392,0.66656,1.26094,0.51972,1.46853,0.000346736,0.000346736,0.000346736
66,2324.45,0.86957,0.39842,0.99944,0.94526,1,0.98014,0.65983,1.47854,0.67314,1.66306,0.000326107,0.000326107,0.000326107
67,2357.78,0.83697,0.38792,1.00669,0.94513,1,0.97726,0.65731,1.41074,0.56085,1.57757,0.000305478,0.000305478,0.000305478
68,2391.02,0.87328,0.39502,1.02024,0.9449,1,0.97106,0.64837,1.52913,0.5765,1.66953,0.000284849,0.000284849,0.000284849
69,2426.97,0.86227,0.39887,1.01371,0.9448,1,0.97837,0.66179,1.33792,0.66417,1.44312,0.00026422,0.00026422,0.00026422
70,2460.67,0.82571,0.38111,1.01032,0.94603,1,0.98124,0.65648,1.46096,0.64403,1.59023,0.00024359,0.00024359,0.00024359
71,2500.14,0.85028,0.36711,1.0382,0.94523,1,0.98329,0.64177,1.37946,0.63305,1.53166,0.000222961,0.000222961,0.000222961
72,2533.04,0.8127,0.34944,1.00811,0.94627,1,0.98261,0.63645,1.22936,0.51043,1.39937,0.000202332,0.000202332,0.000202332
73,2565.13,0.81862,0.35244,1.02326,0.94515,1,0.9865,0.66147,1.29247,0.54315,1.44885,0.000181703,0.000181703,0.000181703
74,2597.59,0.82697,0.34689,1.01413,0.945,1,0.98239,0.64898,1.33434,0.63527,1.48356,0.000161074,0.000161074,0.000161074
